MS SubClass,Lot Frontage,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Cond,Foundation,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,MS Zoning_C (all),MS Zoning_FV,MS Zoning_I (all),MS Zoning_RH,MS Zoning_RL,MS Zoning_RM,Sale Condition_AdjLand,Sale Condition_Alloca,Sale Condition_Family,Sale Condition_Normal,Sale Condition_Partial,Exter Qual_Ord,Kitchen Qual_Ord,Bsmt Qual_Ord,Heating QC_Ord,Garage Qual_Ord,Gr Liv Area_Scaled,Lot Area_Scaled,price_per_sqft,total_bathrooms,qual_x_area,SalePrice_Log,house_age_group
60,75.0,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1993,1994,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,PConc,TA,No,Unf,0.0,Unf,0.0,763.0,763.0,GasA,Y,SBrkr,763,892,0,0.0,0.0,2,1,3,1,7,Typ,1,TA,Attchd,1993.0,Fin,2.0,440.0,TA,Y,157,84,0,0,0,0,None,None,None,0,4,2010,WD ,False,False,False,False,True,False,False,False,False,True,False,3,3,4,4,3,0.31965656505761153,-0.01877496937424822,106.28398791540785,2.5,9930,12.077676615757813,Modern
20,64.0,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,1992,2007,Gable,CompShg,HdBoard,HdBoard,None,0.0,Gd,PConc,TA,No,ALQ,935.0,Unf,0.0,233.0,1168.0,GasA,Y,SBrkr,1187,0,0,1.0,0.0,2,0,3,1,6,Typ,0,None,Attchd,1992.0,Fin,2.0,420.0,TA,Y,483,21,0,0,0,0,None,GdPrv,Shed,500,3,2010,WD ,False,False,False,False,True,False,False,False,False,True,False,3,3,4,5,3,-0.6298159126303423,-0.275163325319127,155.85509688289807,3.0,7122,12.128116509451258,Modern
60,63.0,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,5,1998,1998,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,PConc,TA,No,Unf,0.0,Unf,0.0,789.0,789.0,GasA,Y,SBrkr,789,676,0,0.0,0.0,2,1,3,1,7,Typ,1,Gd,Attchd,1998.0,Fin,2.0,393.0,TA,Y,0,75,0,0,0,0,None,None,None,0,5,2010,WD ,False,False,False,False,True,False,False,False,False,True,False,3,3,4,4,3,-0.06581303058493386,-0.22160100541381075,123.13993174061433,2.5,8790,12.102937429832547,Modern
20,85.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,7,5,1990,1990,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,PConc,TA,Gd,GLQ,637.0,Unf,0.0,663.0,1300.0,GasA,Y,SBrkr,1341,0,0,1.0,0.0,1,1,2,1,5,Typ,1,Po,Attchd,1990.0,Unf,2.0,506.0,TA,Y,192,0,0,0,0,0,None,None,None,0,2,2010,WD ,False,False,False,False,True,False,False,False,False,True,False,3,4,4,4,3,-0.3173826614253319,0.003563818074414487,127.889634601044,2.5,9387,12.052344376474922,Modern
120,60.0,Pave,None,IR1,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1985,1985,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,PConc,TA,Av,GLQ,368.0,BLQ,1120.0,0.0,1488.0,GasA,Y,SBrkr,1502,0,0,1.0,0.0,1,1,1,1,4,Typ,0,None,Attchd,1985.0,RFn,2.0,528.0,TA,Y,0,54,0,0,140,0,None,None,None,0,6,2010,WD ,False,False,False,False,True,False,False,False,False,True,False,4,4,4,3,3,0.009252101198088137,-0.42239624259440395,141.1451398135819,2.5,12016,12.264346270624157,Modern
60,47.0,Pave,None,IR2,HLS,AllPub,CulDSac,Mod,StoneBr,Norm,Norm,1Fam,2Story,8,5,2003,2003,Hip,CompShg,CemntBd,Wd Shng,BrkFace,603.0,TA,PConc,TA,Gd,ALQ,1416.0,Unf,0.0,234.0,1650.0,GasA,Y,SBrkr,1690,1589,0,1.0,0.0,3,1,4,1,12,Mod,1,Gd,BuiltIn,2003.0,Fin,3.0,841.0,TA,Y,503,36,0,0,210,0,None,None,None,0,6,2010,WD ,False,False,False,False,True,False,False,False,False,True,False,5,5,4,5,3,3.6144072141286308,5.50296712816338,139.27001219884116,4.5,26232,13.031710549280998,Recent
50,152.0,Pave,None,IR1,Bnk,AllPub,Inside,Mod,Gilbert,Norm,Norm,1Fam,1.5Fin,8,7,1988,2005,Gable,CompShg,Wd Sdng,Wd Sdng,None,0.0,TA,Wood,TA,Av,GLQ,427.0,Unf,0.0,132.0,559.0,GasA,Y,SBrkr,1080,672,0,0.0,0.0,2,0,4,1,8,Typ,0,None,Basment,1988.0,RFn,2.0,492.0,TA,Y,325,12,0,0,0,0,None,None,None,0,6,2010,WD ,False,False,False,False,True,False,False,False,False,True,False,4,3,4,4,3,0.5164489375698583,0.2520828284407871,93.60730593607306,2.0,14016,12.00762780434872,Modern
20,88.0,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,StoneBr,Norm,Norm,1Fam,1Story,9,2,2010,2010,Hip,CompShg,VinylSd,VinylSd,Stone,350.0,TA,PConc,TA,Av,GLQ,1445.0,Unf,0.0,411.0,1856.0,GasA,Y,SBrkr,1856,0,0,1.0,0.0,1,1,1,1,8,Typ,1,Ex,Attchd,2010.0,Fin,3.0,834.0,TA,Y,113,0,0,0,0,0,None,None,None,0,6,2010,New,False,False,False,False,True,False,False,False,False,False,True,4,5,5,5,3,0.7274428215005148,0.15815838121345527,212.51724137931035,2.5,16704,12.885204569609956,Recent
20,140.0,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,Gilbert,Norm,Norm,1Fam,1Story,4,5,1951,1951,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,CBlock,TA,No,LwQ,120.0,Unf,0.0,744.0,864.0,GasA,Y,SBrkr,864,0,0,0.0,0.0,1,0,2,1,4,Typ,0,None,Detchd,1951.0,Unf,2.0,400.0,TA,Y,0,0,0,0,0,0,None,None,None,0,6,2010,WD ,False,False,False,False,True,False,False,False,False,True,False,3,3,3,5,3,-1.2851142252226695,1.1410650289546145,163.19444444444446,1.0,3456,11.856522261533737,Older
20,85.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1978,1988,Gable,CompShg,Plywood,Plywood,Stone,119.0,TA,CBlock,TA,No,ALQ,790.0,Rec,163.0,589.0,1542.0,GasA,Y,SBrkr,2073,0,0,1.0,0.0,2,0,3,1,7,Min1,2,TA,Attchd,1978.0,Unf,2.0,500.0,TA,Y,349,0,0,0,0,0,None,MnPrv,None,0,2,2010,WD ,False,False,False,False,True,False,False,False,False,True,False,3,3,4,3,3,1.1676896754712114,0.3842116792024796,101.30246020260492,3.0,12438,12.25486757159303,Mid-Century
20,105.0,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,1977,1977,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,TA,CBlock,TA,No,BLQ,705.0,Unf,0.0,1139.0,1844.0,GasA,Y,SBrkr,1844,0,0,0.0,0.0,2,0,3,1,7,Typ,1,TA,Attchd,1977.0,RFn,2.0,546.0,TA,Y,0,122,0,0,0,0,None,MnPrv,None,0,1,2010,COD,False,False,False,False,True,False,False,False,False,True,False,3,3,4,5,3,0.7030973733546698,0.2034705807542086,103.03687635574838,2.0,11064,12.154784614286667,Mid-Century
85,85.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,SFoyer,7,6,1974,1974,Gable,CompShg,Plywood,Plywood,BrkFace,81.0,TA,CBlock,TA,Gd,GLQ,885.0,LwQ,168.0,0.0,1053.0,GasA,Y,SBrkr,1173,0,0,1.0,0.0,2,0,3,1,6,Typ,2,TA,Attchd,1974.0,RFn,2.0,528.0,TA,Y,0,120,0,0,0,0,None,MnPrv,None,0,1,2010,WD ,False,False,False,False,True,False,False,False,True,False,False,3,4,4,3,3,-0.6582189354671615,0.06055311105424151,144.92753623188406,3.0,8211,12.04355959836804,Mid-Century
60,72.5,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,PConc,TA,No,GLQ,533.0,Unf,0.0,281.0,814.0,GasA,Y,SBrkr,814,860,0,1.0,0.0,2,1,3,1,7,Typ,0,None,Attchd,2000.0,RFn,2.0,663.0,TA,Y,0,96,0,0,0,0,None,None,None,0,1,2010,WD ,False,True,False,False,False,False,False,False,False,True,False,4,4,4,5,3,0.35820352462186605,-0.3360872910882072,129.03225806451613,3.5,11718,12.283038316285214,Modern
20,73.0,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,7,1970,1970,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,180.0,TA,CBlock,TA,No,ALQ,578.0,Unf,0.0,426.0,1004.0,GasA,Y,SBrkr,1004,0,0,1.0,0.0,1,0,2,1,5,Typ,1,TA,Attchd,1970.0,Fin,2.0,480.0,TA,Y,0,0,0,0,0,0,None,None,Shed,700,3,2010,WD ,False,False,False,False,True,False,False,False,False,True,False,3,3,3,5,3,-1.0010839968544782,0.138738867124561,148.40637450199202,2.0,6024,11.91170829631447,Mid-Century
20,73.0,Pave,None,IR1,Lvl,AllPub,CulDSac,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1971,2008,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,CBlock,TA,No,GLQ,734.0,Unf,0.0,344.0,1078.0,GasA,Y,SBrkr,1078,0,0,1.0,0.0,1,1,3,1,6,Typ,1,Fa,Attchd,1971.0,Fin,2.0,500.0,TA,Y,0,0,0,0,0,0,None,None,None,0,4,2010,WD ,False,False,False,False,True,False,False,False,False,True,False,3,3,3,5,3,-0.8509537332884342,0.3032335747010773,139.05380333951763,2.5,5390,11.917730355182513,Mid-Century
20,65.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,None,0.0,TA,CBlock,TA,No,BLQ,775.0,Unf,0.0,281.0,1056.0,GasA,Y,SBrkr,1056,0,0,1.0,0.0,1,0,3,1,6,Typ,1,Fa,Attchd,1968.0,Unf,1.0,304.0,TA,Y,0,85,184,0,0,0,None,None,None,0,7,2010,WD ,False,False,False,False,True,False,False,False,False,True,False,3,3,3,5,3,-0.8955870548891499,-0.21550860883690276,134.46969696969697,2.0,5280,11.863589378812122,Mid-Century
20,70.0,Pave,None,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1970,1970,Gable,CompShg,Plywood,Plywood,None,0.0,TA,CBlock,TA,No,ALQ,804.0,Rec,78.0,0.0,882.0,GasA,Y,SBrkr,882,0,0,1.0,0.0,1,0,2,1,4,Typ,0,None,Attchd,1970.0,Fin,2.0,525.0,TA,Y,240,0,0,0,0,0,None,MnPrv,None,0,4,2010,WD ,False,False,False,False,True,False,False,False,False,True,False,3,3,3,3,3,-1.248596053003902,-0.22185485527118193,142.85714285714286,2.0,3528,11.744045122410057,Mid-Century
20,70.0,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,1Fam,1Story,4,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,None,0.0,TA,CBlock,TA,No,ALQ,432.0,Unf,0.0,432.0,864.0,GasA,Y,SBrkr,864,0,0,0.0,0.0,1,0,3,1,5,Typ,1,Po,None,0.0,None,0.0,0.0,None,Y,0,0,0,0,0,0,None,None,None,0,4,2010,ConLI,False,False,False,False,True,False,False,False,False,True,False,3,3,3,3,0,-1.2851142252226695,0.044687494968543566,133.10185185185185,1.0,3456,11.652696102959753,Mid-Century
120,26.0,Pave,None,IR1,Lvl,AllPub,FR2,Gtl,NAmes,Norm,Norm,TwnhsE,1Story,7,5,1999,1999,Gable,CompShg,MetalSd,MetalSd,None,0.0,TA,PConc,TA,No,GLQ,1051.0,BLQ,0.0,354.0,1405.0,GasA,Y,SBrkr,1337,0,0,1.0,0.0,2,0,2,1,5,Typ,1,Fa,Attchd,1999.0,Fin,2.0,511.0,TA,Y,203,68,0,0,0,0,None,None,None,0,6,2010,WD ,False,False,False,True,False,False,False,False,False,True,False,4,4,4,5,3,-0.32549781080728024,-0.5444980239899354,137.62154076290201,3.0,9359,12.122696471358964,Modern
160,21.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,504.0,TA,CBlock,TA,No,Rec,156.0,Unf,0.0,327.0,483.0,GasA,Y,SBrkr,483,504,0,0.0,0.0,1,1,2,1,5,Typ,0,None,Detchd,1971.0,Unf,1.0,264.0,TA,Y,275,0,0,0,0,0,None,None,None,0,2,2010,COD,False,False,False,False,False,True,False,False,False,True,False,3,3,3,3,3,-1.0355733817277586,-1.0747903760383035,97.26443768996961,1.5,5922,11.472113887062386,Mid-Century
160,21.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,5,5,1971,1971,Gable,CompShg,HdBoard,HdBoard,BrkFace,492.0,TA,CBlock,TA,No,Rec,300.0,Unf,0.0,225.0,525.0,GasA,Y,SBrkr,525,567,0,0.0,0.0,1,1,3,1,6,Typ,0,None,Detchd,1997.0,Unf,1.0,320.0,TA,Y,0,0,0,0,0,0,None,None,None,0,3,2010,WD ,False,False,False,False,False,True,False,False,False,True,False,3,3,3,3,3,-0.8225507104516151,-1.0747903760383035,96.6117216117216,1.5,5460,11.566475710526321,Mid-Century
160,21.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,1971,1971,Gable,CompShg,HdBoard,ImStucc,BrkFace,381.0,TA,CBlock,TA,No,Unf,0.0,Unf,0.0,525.0,525.0,GasA,Y,SBrkr,525,567,0,0.0,0.0,1,1,3,1,6,Typ,0,None,Detchd,1971.0,Unf,1.0,264.0,TA,Y,0,0,0,0,0,0,None,None,None,0,3,2010,WD ,False,False,False,False,False,True,False,False,True,False,False,3,3,3,3,3,-0.8225507104516151,-1.0747903760383035,80.58608058608058,1.5,6552,11.385103457032141,Mid-Century
120,53.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,TwnhsE,1Story,6,5,1977,1977,Gable,CompShg,Plywood,Plywood,None,0.0,TA,CBlock,TA,No,ALQ,360.0,Unf,0.0,709.0,1069.0,GasA,Y,SBrkr,1069,0,0,0.0,0.0,2,0,2,1,4,Typ,1,Fa,Attchd,1977.0,RFn,2.0,440.0,TA,Y,0,55,0,0,165,0,None,None,None,0,7,2010,WD ,False,False,False,False,True,False,False,False,False,True,False,3,3,4,3,3,-0.8692128193978179,-0.7748667695542696,119.27034611786716,2.0,6414,11.755879486687116,Mid-Century
160,24.0,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0.0,TA,CBlock,TA,No,ALQ,514.0,Unf,0.0,341.0,855.0,GasA,Y,SBrkr,855,601,0,0.0,0.0,2,1,3,1,6,Typ,1,TA,Attchd,1975.0,Unf,2.0,440.0,TA,Y,173,0,0,0,0,0,None,None,None,0,6,2010,WD ,False,False,False,False,True,False,False,False,False,True,False,3,4,3,3,3,-0.08407211669431759,-0.9986354188269534,102.9532967032967,2.5,8736,11.917730355182513,Mid-Century
120,24.0,Pave,None,Reg,Lvl,AllPub,FR2,Gtl,NPkVill,Norm,Norm,Twnhs,1Story,7,6,1975,1975,Gable,CompShg,Plywood,Brk Cmn,None,0.0,TA,CBlock,TA,No,Unf,0.0,Unf,0.0,836.0,836.0,GasA,Y,SBrkr,836,0,0,0.0,0.0,1,0,2,1,4,Typ,0,None,Attchd,1975.0,Unf,1.0,308.0,TA,Y,0,30,0,0,0,0,None,None,None,0,6,2010,WD ,False,False,False,False,True,False,False,False,False,True,False,3,3,4,5,3,-1.3419202708963078,-0.9986354188269534,143.54066985645932,1.0,5852,11.695255355062795,Mid-Century
160,24.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NPkVill,Norm,Norm,Twnhs,2Story,6,5,1978,1978,Gable,CompShg,Plywood,Brk Cmn,None,0.0,TA,CBlock,TA,No,ALQ,311.0,Unf,0.0,544.0,855.0,GasA,Y,SBrkr,855,601,0,0.0,0.0,2,1,3,1,7,Typ,1,TA,Attchd,1978.0,Unf,2.0,440.0,TA,Y,26,0,0,0,0,0,None,None,None,0,7,2010,WD ,False,False,False,False,True,False,False,False,False,True,False,3,3,4,2,3,-0.08407211669431759,-0.9986354188269534,100.27472527472527,2.5,8736,11.891368749982085,Mid-Century
60,102.0,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,2Story,9,5,2009,2010,Gable,CompShg,VinylSd,VinylSd,Stone,162.0,TA,PConc,TA,No,Unf,0.0,Unf,0.0,1590.0,1590.0,GasA,Y,SBrkr,1627,707,0,0.0,0.0,2,1,3,1,10,Typ,1,Gd,Attchd,2009.0,Fin,3.0,751.0,TA,Y,144,133,0,0,0,0,None,None,None,0,1,2010,New,False,False,False,False,True,False,False,False,False,False,True,5,5,5,5,3,1.6972031726433394,0.3439764768091496,161.1662382176521,2.5,21006,12.837777839071741,Recent
20,98.0,Pave,None,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,8,5,2007,2008,Gable,CompShg,VinylSd,VinylSd,Stone,200.0,TA,PConc,TA,No,GLQ,1218.0,Unf,0.0,486.0,1704.0,GasA,Y,SBrkr,1704,0,0,1.0,0.0,2,0,3,1,7,Typ,1,Gd,Attchd,2008.0,RFn,3.0,772.0,TA,Y,0,50,0,0,0,0,None,None,None,0,5,2010,WD ,False,False,False,False,True,False,False,False,False,True,False,4,4,5,5,3,0.41906714498647846,0.1688200752230443,179.57746478873239,3.0,13632,12.631343648903034,Recent
20,83.0,Pave,None,IR1,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2009,2010,Hip,CompShg,VinylSd,VinylSd,Stone,450.0,TA,PConc,TA,Av,GLQ,1646.0,Unf,0.0,284.0,1930.0,GasA,Y,SBrkr,1940,0,0,1.0,0.0,2,1,3,1,8,Typ,1,Gd,Attchd,2010.0,Fin,3.0,606.0,TA,Y,168,95,0,0,0,0,None,None,None,0,4,2010,New,False,False,False,False,True,False,False,False,False,False,True,5,5,5,5,3,0.8978609585214296,0.0014060942867595665,203.70721649484537,3.5,17460,12.887129532148373,Recent
